Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
339,Battlefield 1,PS4,2016,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26
340,Battlefield 3,PS3,2011,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
341,Need for Speed Underground,PS2,2003,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
342,Megami Tensei,Series,2004,Atlus  ,Atlus|Arc System Works|CAVE|Lancarse|Multimedia Intelligence Transfer|Nex Entertainment|Sega  ,,,,,,,
343,The Binding of Isaac,PC,2011,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0
344,Crash Bandicoot 3: Warped,PS,1998,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
345,Pokémon Emerald Version,GBA,2005,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
346,Guild Wars 2,PC,2012,NCSoft  ,ArenaNet  ,,,1.01,1.11,,0.25,2.37
347,Oddworld,Series,1997,GT Interactive  ,Oddworld Inhabitants|Digital Dialect|Saffire Corporation|Just Add Water|Frima Studio|Square One Games  ,,,,,,,
348,Project Gotham Racing,Series,2001,Sega  ,Bizarre Creations|Glu Mobile|Pixelbite  ,,,,,,,
349,Rugrats,Series,1999,THQ  ,Realtime Associates|n-Space|Tiertex Design Studios|Art Co.|Software Creations|Avalanche Software|KnowWonder|THQ|Eurocom Entertainment Software  ,,,,,,,
350,Samurai Warriors,Series,2004,KOEI  ,Omega Force  ,,,,,,,
351,Need for Speed Underground 2,PS2,2004,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
352,Just Dance 4,Wii,2012,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
353,Mario Kart: Double Dash!!,GC,2003,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
354,Medal of Honor: Frontline,PS2,2002,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83
355,Crash Bandicoot,PS,1996,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
356,Uncharted 2: Among Thieves,PS3,2009,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
357,Call of Duty 4: Modern Warfare,PS3,2007,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
358,Star Wars: Knights of the Old Republic,Series,2003,LucasArts  ,BioWare|Obsidian Entertainment  ,,,,,,,
359,Dead Space,Series,N/A,Unknown  ,EA Redwood Shores|Visceral Games|Eurocom|Sumo Digital|IronMonkey Studios  ,,,,,,,
360,FIFA Soccer 12,PS3,2011,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
361,FIFA 14,PS3,2013,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
362,Fallout 4,PC,2015,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,0.57,0.72,,0.11,1.4
363,New Super Mario Bros. U Deluxe,NS,2019,Nintendo  ,Nintendo EPD  ,,6.6,,,,,
364,Tomodachi Life,3DS,2014,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
365,Red Dead Redemption,PS3,2011,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
366,Donkey Kong Country Returns,Wii,2010,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
367,The Legend of Zelda,NES,1987,Nintendo  ,Nintendo EAD  ,,,3.74,0.93,1.69,0.14,6.51
368,Assassin's Creed III,PS3,2012,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
369,Guild Wars,PC,2005,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04
370,Red Dead Redemption,X360,2010,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
371,The Elder Scrolls V: Skyrim,PS3,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
372,Diddy Kong Racing,Series,1997,Nintendo  ,Rare Ltd.  ,,,,,,,
373,Final Fantasy XII,PS2,2006,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
374,Pokémon Crystal Version,GBC,2001,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
375,Halo 3: ODST,X360,2009,Microsoft Game Studios  ,Bungie  ,8.7,,4.34,1.34,0.06,0.61,6.35
376,Minecraft,PS4,2014,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
377,Luigi's Mansion 3,NS,2019,Nintendo  ,"Next Level Games, Inc.  ",,,,,,,
378,FIFA 15,PS4,2014,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
379,Kingdom Hearts,PS2,2002,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4
380,Myst,PC,1995,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
381,Street Fighter II: The World Warrior,SNES,1992,Capcom  ,Capcom  ,,,2.47,0.83,2.87,0.12,6.3
382,Driver,PS,1999,GT Interactive  ,Reflections Interactive  ,8.5,,3.11,2.8,0.02,0.33,6.27
383,Call of Duty: WWII,XOne,2017,Activision  ,Sledgehammer Games  ,,,3.75,1.91,,0.57,6.23
384,Lost Planet,Series,2007,Capcom  ,Capcom|Spark Unlimited  ,,,,,,,
385,Luigi's Mansion: Dark Moon,3DS,2013,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
386,Big Brain Academy,DS,2006,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63
387,Hatsune Miku: Project,Series,2012,Sega  ,Sega|Crypton Future Media  ,,,,,,,
388,Minecraft,PS3,2014,Sony Computer Entertainment America  ,Mojang  ,,,2.21,2.86,,0.99,6.05
389,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Konami  ,Konami Computer Entertainment Japan  ,9.5,7.0,2.45,2.01,0.87,0.72,6.05
390,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,,2.0
391,Championship Manager,Series,1992,Domark Software  ,Intelek|Sports Interactive|Sterling Games|Eidos Interactive|Beautiful Game Studios|Gusto Games|Square Enix  ,,,,,,,
392,Cities: Skylines,PC,2015,Paradox Interactive   ,Colossal Order  ,,,,0.16,,0.01,0.17
393,Conflict,Series,2002,Gotham Games  ,Pivotal Games  ,,,,,,,
394,Mana,Series,1991,Square  ,Square|Square Enix|Brownie Brown  ,,,,,,,
395,Metal Gear Solid,PS,1998,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03
396,MotorStorm,Series,N/A,Unknown  ,Evolution Studios|Bigbig Studios|Virtuos  ,,,,,,,
397,NBA Jam,Series,1994,Midway  ,Midway|Acclaim|Electronic Arts  ,,,,,,,
398,Sonic the Hedgehog 2,GEN,1992,Sega  ,Sonic Team  ,,,4.47,1.2,0.16,0.19,6.03
399,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0
