Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
14639,Jam Sessions 2,DS,2009,Ubisoft  ,Ubisoft  ,,,0.06,,,0.0,0.07
14640,Lost in Blue 2,DS,2007,Konami  ,Konami Computer Entertainment Hawaii  ,,,0.01,0.01,0.05,0.0,0.07
14641,Gunstar Super Heroes,GBA,2005,Sega  ,"Treasure Co., Ltd.  ",8.0,,0.05,0.02,,0.0,0.07
14642,RPG Maker: Fes,3DS,2017,NIS America  ,Kadokawa Games  ,7.0,,0.03,0.0,0.02,0.0,0.07
14643,C: The Contra Adventure,PS,1998,Konami  ,Appaloosa Interactive  ,4.2,,0.04,0.02,,0.0,0.07
14644,Frogger Advance: The Great Quest,GBA,2002,Konami  ,KCEA  ,5.5,,0.05,0.02,,0.0,0.07
14645,Interactive Storybook DS Series 1,DS,2007,Tommo  ,Tommo  ,,,0.06,,,0.0,0.07
14646,R.B.I. Baseball 2017,XOne,2017,MLB.com  ,MLB.com  ,,,0.06,,,0.01,0.07
14647,Spintires: MudRunner - American Wilds,XOne,2018,Focus Home Interactive  ,Saber Interactive  ,,,0.06,,,0.01,0.07
14648,Worms Forts: Under Siege,XB,2005,Sega  ,Team17 Software  ,,,0.05,0.01,,0.0,0.07
14649,Dream C Club,X360,2009,D3 Publisher  ,DreamXCreate  ,,,,,0.07,,0.07
14650,Pocky & Rocky with Becky,GBA,2002,Natsume  ,Altron  ,,,0.05,0.02,,0.0,0.07
14651,Full Spectrum Warrior: Ten Hammers,PS2,2006,THQ  ,Pandemic Studios  ,5.5,,0.03,0.02,,0.01,0.07
14652,Streets of Rage 3,GEN,1994,Sega  ,Sega  ,,,,,0.07,0.0,0.07
14653,Tokyo Twilight Ghost Hunters,PS3,2015,Aksys Games  ,Toybox Games  ,,,0.03,0.0,0.02,0.01,0.07
14654,Command & Conquer 3: Tiberium Wars,PC,2007,Electronic Arts  ,EA Los Angeles  ,,,,0.06,,0.01,0.07
14655,Motion Explosion!,X360,2011,Majesco  ,Artech Studios  ,,,0.05,0.01,,0.01,0.07
14656,Pro Yakyuu Spirits 4,PS3,2007,Konami  ,PawaPuro Production  ,,,,,0.07,,0.07
14657,Risen 3: Titan Lords Enhanced Edition,PS4,2015,Deep Silver  ,Piranha Bytes  ,1.0,,,0.06,,0.01,0.07
14658,Speed Racer,PS,1998,Jaleco  ,Amanodai  ,,,0.04,0.02,,0.0,0.07
14659,NHL Hitz Pro,XB,2003,Midway Games  ,Next Level Games  ,,,0.05,0.01,,0.0,0.07
14660,Cosmos Chaos!,DS,2010,Mentor Interactive  ,Mentor Interactive  ,,,0.06,,,0.01,0.07
14661,MLB Power Pros 2008,DS,2008,2K Sports  ,PawaPuro Production  ,,,0.06,,,0.01,0.07
14662,Mary Skelter: Nightmares,PSV,2017,Idea Factory  ,Compile Heart  ,,,0.01,0.0,0.04,0.01,0.06
14663,"Warhammer 40,000: Squad Command",DS,2007,THQ  ,RedLynx  ,,,0.05,0.01,,0.01,0.06
14664,Atelier Meruru Plus: The Apprentice of Arland,PSV,2013,Gust  ,Gust  ,,,,,0.06,,0.06
14665,Hot Wheels: Burnin' Rubber,GBA,2001,THQ  ,Altron  ,8.0,,0.05,0.02,,0.0,0.06
14666,Ojyousama Express,PS,1998,Media Works  ,MediaWorks  ,,,,,0.06,0.0,0.06
14667,IL-2 Sturmovik: Birds of Prey,DS,2009,505 Games  ,Gaijin Entertainment  ,5.0,,0.06,0.0,,0.0,0.06
14668,Wings of War,XB,2004,Gathering of Developers  ,Silver Wish Games  ,,,0.05,0.01,,0.0,0.06
14669,187: Ride or Die,XB,2005,Ubisoft  ,Ubisoft Paris  ,,,0.05,0.01,,0.0,0.06
14670,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015,Alchemist  ,Alchemist  ,,,,,0.06,,0.06
14671,RPG Maker 3,PS2,2005,Agetec  ,Runtime  ,7.0,,0.03,0.02,,0.01,0.06
14672,Zatch Bell! Mamodo Battles,GC,2005,Bandai  ,Eighting  ,7.0,,0.05,0.01,,0.0,0.06
14673,Risen 3: Titan Lords,X360,2014,Deep Silver  ,Piranha Bytes  ,,,0.02,0.04,,0.0,0.06
14674,Moshi Monsters: Katsuma Unleashed,3DS,2013,Activision  ,"Black Lantern Studios, Inc.  ",,,0.03,0.03,,0.01,0.06
14675,Genkai Tokki Monster Monpiece,PSV,2014,Idea Factory  ,Compile Heart  ,,,,,0.06,,0.06
14676,Nobunaga's Ambition: Taishi,PS4,2018,Koei Tecmo  ,Koei Tecmo Games  ,,,0.01,,0.05,0.0,0.06
14677,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014,Namco Bandai Games  ,WinkySoft  ,,,,,0.06,,0.06
14678,James Bond 007: Blood Stone,DS,2010,Activision  ,n-Space  ,7.0,,0.05,0.01,,0.0,0.06
14679,Desert Strike Advance,GBA,2002,Electronic Arts  ,BudCat Creations  ,6.8,,0.05,0.02,,0.0,0.06
14680,Kabuki Warriors,XB,2001,Crave Entertainment  ,Light Weight  ,1.0,,0.05,0.01,,0.0,0.06
14681,Fist of the North Star: Ken's Rage 2,X360,2013,Tecmo Koei  ,Koei  ,,,0.03,0.01,0.02,0.0,0.06
14682,Game Center CX: 3-Choume no Arino,3DS,2014,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.06,,0.06
14683,Discworld,PS,1995,Psygnosis  ,Teeny Weeny Games  ,,,0.04,0.02,,0.0,0.06
14684,World Poker Tour,XB,2005,2K Sports  ,2K Sports  ,,,0.05,0.01,,0.0,0.06
14685,Disney's Chicken Little: Ace In Action,DS,2006,Buena Vista  ,Avalanche Software  ,6.0,,0.06,0.0,,0.0,0.06
14686,Elite Forces: Unit 77,DS,2009,Deep Silver  ,Gammick Entertainment  ,,,0.06,,,0.0,0.06
14687,Pirates: The Legend of Black Kat,XB,2002,Electronic Arts  ,Westwood Studios  ,,,0.05,0.01,,0.0,0.06
14688,Cabela's Trophy Bucks,Wii,2008,Activision  ,Magic Wand Productions  ,,,0.06,,,0.0,0.06
14689,MotoGP 15,PS3,2015,Milestone S.r.l.  ,Milestone S.r.l.  ,,,,0.02,0.04,0.0,0.06
14690,July,DC,1998,Fortyfive  ,Fortyfive  ,4.8,,,,0.06,0.0,0.06
14691,The Legend of Heroes: Ao no Kiseki,PSV,2014,Nihon Falcom Corporation  ,Nihon Falcom Corporation  ,,,,,0.06,,0.06
14692,Super Bomberman R,PS4,2018,Konami Digital Entertainment  ,HexaDrive  ,,,0.03,,0.03,0.01,0.06
14693,ESPN Winter X-Games: Snowboarding 2002,GBA,2001,Konami  ,KCEO  ,,,0.05,0.02,,0.0,0.06
14694,Bleach: Versus Crusade,Wii,2008,Sega  ,"Treasure Co., Ltd.  ",,,,,0.06,,0.06
14695,Insecticide,DS,2008,Gamecock  ,"Crackpot Entertainment / Creat Studios, Inc.  ",,,0.06,,,0.01,0.06
14696,Aven Colony,XOne,2017,Sold Out  ,Mothership Entertainment  ,,,0.06,,,0.01,0.06
14697,Kanon,DC,2000,NEC Interchannel   ,Key  ,,,,,0.06,,0.06
14698,NanoBreaker,PS2,2005,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.03,0.02,,0.01,0.06
14699,Bionicle,XB,2003,Electronic Arts  ,Argonaut Games  ,,,0.05,0.01,,0.0,0.06
14700,Escape from Bug Island,Wii,2007,Eidos Interactive  ,Spike  ,,,0.04,0.01,0.01,0.0,0.06
14701,Adventure Time: Finn & Jake Investigations,XOne,2015,Little Orbit  ,Vicious Cycle  ,,,0.04,0.02,,0.01,0.06
14702,Persona 5: Dancing in Starlight,PS4,2018,Atlus  ,Atlus  ,,,0.03,,0.03,0.01,0.06
14703,Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000,Konami  ,Konami  ,,,,,0.06,,0.06
14704,Monster Madness: Grave Danger,PS3,2008,SouthPeak Interactive  ,Psyonix Studios  ,,,0.05,0.01,,0.01,0.06
14705,Mark McMorris Infinite Air,PS4,2016,Maximum Games  ,HB Studios  ,,,0.05,,,0.01,0.06
14706,Miami Vice: The Game,PSP,2006,Vivendi Games  ,Rebellion Developments  ,,,0.06,0.0,,0.0,0.06
14707,Kamen Rider: Dragon Knight,Wii,2009,D3 Publisher  ,Eighting  ,,,0.06,,,0.0,0.06
14708,Nights of Azure 2: Bride of the New Moon,NS,2017,Tecmo Koei  ,Gust  ,,,0.02,0.02,0.01,0.0,0.06
14709,BMX XXX,GC,2002,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",,,0.05,0.01,,0.0,0.06
14710,Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Capcom  ,Capcom  ,5.6,,0.05,0.02,,0.0,0.06
14711,The Amazing Spider-Man 2 (2014),3DS,2014,Activision  ,High Voltage Software  ,,,0.03,0.03,,0.01,0.06
14712,Aggressive Inline,XB,2002,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",9.0,,0.05,0.01,,0.0,0.06
14713,Smart Boy's Toys Club,DS,2008,UFO Interactive  ,Starfish Inc.  ,,,0.06,0.0,,0.0,0.06
14714,Ikki Tousen: Xross Impact,PSP,2010,Marvelous Interactive  ,Marvelous Interactive  ,,,,,0.06,,0.06
14715,Dead or Alive Xtreme 3: Fortune,PS4,2016,Tecmo Koei  ,Team Ninja  ,,,,,0.06,,0.06
14716,Jewels of the Ages,DS,2011,City Interactive  ,City Interactive  ,,,0.03,0.02,,0.01,0.06
14717,Cold Stone Creamery: Scoop It Up,Wii,2009,Zoo Games  ,Zoo Games  ,,,0.06,,,0.0,0.06
14718,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Imax  ,I'Max  ,,,,,0.06,0.0,0.06
14719,XGRA: Extreme G Racing Association,PS2,2003,Acclaim Entertainment  ,Acclaim Studios Cheltenham  ,,,0.03,0.02,,0.01,0.06
14720,Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
14721,Pro Evolution Soccer 2015,PC,2014,Konami Digital Entertainment  ,PES Productions  ,,,,0.06,,0.0,0.06
14722,Pop'n Music Portable 2,PSP,2011,Konami  ,Konami  ,,,,,0.06,,0.06
14723,Ys vs. Sora no Kiseki: Alternative Saga,PSP,2010,Falcom Corporation  ,Nihon Falcom Corporation  ,,,,,0.06,,0.06
14724,Naruto: Ultimate Ninja Heroes (JP sales),PSP,2007,Namco Bandai  ,CyberConnect2  ,,,,,0.06,,0.06
14725,Blood Bowl,PC,2010,SouthPeak Interactive  ,Cyanide Studio  ,6.5,,0.04,0.02,,0.01,0.06
14726,Gradius Collection,PSP,2006,Konami  ,Konami  ,,,0.04,0.0,0.02,0.0,0.06
14727,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Marvelous Interactive  ,Marvelous Interactive  ,,,,,0.06,,0.06
14728,Ray Tracers,PS,1997,THQ  ,Taito Corporation  ,,,0.04,0.02,,0.0,0.06
14729,Age of Empires III: The Asian Dynasties,PC,2007,Microsoft Game Studios  ,Big Huge Games  ,,,0.0,0.05,,0.01,0.06
14730,Frogger: Helmet Chaos,DS,2005,Konami  ,Konami Computer Entertainment Hawaii  ,,,0.06,0.0,,0.0,0.06
14731,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,NS,2018,Ubisoft  ,Ubisoft  ,,,0.06,,,0.01,0.06
14732,Legend of the Dragon,Wii,2007,Game Factory  ,Neko Entertainment  ,,,0.06,0.0,,0.0,0.06
14733,FIFA 19,X360,2018,Electronic Arts  ,EA Sports  ,,,,0.06,,0.0,0.06
14734,My Pet Shop,DS,2009,Taito  ,Taito Corporation  ,,,0.06,0.0,,0.0,0.06
14735,Imagine: Gymnast,DS,2010,Ubisoft  ,1st Playable Productions  ,,,0.05,0.01,,0.0,0.06
14736,Monster Tale,DS,2011,Majesco  ,DreamRift  ,7.7,,0.06,,,0.0,0.06
14737,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,D3 Publisher  ,Bisty  ,,,,,0.06,,0.06
14738,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Alchemist  ,Alchemist  ,,,,,0.06,,0.06
14739,Kururin Paradise,GBA,N/A,Unknown  ,Eighting  ,,,,,0.06,0.0,0.06
14740,Ittle Dew 2+,NS,2017,Nicalis  ,Ludosity AB  ,,,0.06,,,0.01,0.06
14741,Kiniro no Corda 2,PS2,2007,KOEI  ,Koei  ,,,,,0.06,,0.06
14742,Dynasty Warriors Vs,3DS,2012,KOEI  ,Koei  ,,,,,0.06,,0.06
14743,A-Train 3D: City Simulator,3DS,2015,Natsume  ,ArtDink  ,,,,,0.06,,0.06
14744,Gallop Racer 2004,PS2,2004,Tecmo  ,Tecmo  ,,,0.03,0.02,,0.01,0.06
14745,Rayman: Hoodlum's Revenge,GBA,2005,Ubisoft  ,Ubisoft  ,6.2,,0.05,0.02,,0.0,0.06
14746,Sunrise Eiyuutan R,PS2,2000,Sunrise Interactive  ,Atelier-Sai  ,,,,,0.06,,0.06
14747,Girls und Panzer: Dream Tank Match,PS4,2018,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.06,,0.06
14748,Backyard Hockey,DS,2007,Atari  ,Mistic Software  ,,,0.06,,,0.0,0.06
14749,Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2005,Bandai  ,Bec  ,,,0.03,0.02,,0.01,0.06
14750,F1 2001,XB,2001,EA Sports  ,Electronic Arts UK  ,,,0.05,0.01,,0.0,0.06
14751,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Namco Bandai Games  ,Inti Creates  ,,,,,0.06,,0.06
14752,Birthdays the Beginning,PS4,2017,NIS America  ,Arc System Works  ,,,0.05,,0.0,0.01,0.06
14753,Fishing Master (jp sales),Wii,2007,Konami  ,Hudson Soft  ,,,,,0.06,,0.06
14754,Paws & Claws: Marine Rescue,DS,2011,THQ  ,THQ  ,,,0.06,,,0.0,0.06
14755,Zill O'll Infinite Plus,PSP,2009,KOEI  ,Koei  ,,,,,0.06,,0.06
14756,Tonka Rescue Patrol,GC,2003,TDK Mediactive  ,TDK Mediactive  ,,,0.05,0.01,,0.0,0.06
14757,GunGriffon II,SAT,1998,ESP  ,Game Arts  ,,,,,0.06,,0.06
14758,Atari Flashback Classics: Volume 1,XOne,2016,Atari  ,Atari  ,,,0.06,,,0.01,0.06
14759,Crimson Gem Saga,PSP,2009,Atlus  ,"IronNos Co., Ltd.  ",7.3,8.0,0.06,,,0.0,0.06
14760,Cel Damage,GC,2002,Electronic Arts  ,Pseudo Interactive  ,6.0,,0.05,0.01,,0.0,0.06
14761,Generator Rex: Agent of Providence,X360,2011,Activision  ,Virtuos  ,,,0.05,0.01,,0.01,0.06
14762,Santa Claus is Comin' to Town!,DS,2011,Crave Entertainment  ,Crave Entertainment  ,,,0.06,,,0.01,0.06
14763,Kamen Rider: Battride War Genesis,PSV,2016,Namco Bandai Games  ,Unknown  ,,,,,0.06,,0.06
14764,The Sims 4: Get Famous,PC,2018,Electronic Arts  ,Maxis  ,,,,0.06,,0.0,0.06
14765,Western Riding Academy,DS,2010,Destineer  ,TBA  ,,,0.06,,,0.0,0.06
14766,Cities XL 2012,PC,2011,Focus Home Interactive  ,Monte Cristo Multimedia  ,6.0,,0.01,0.05,,0.01,0.06
14767,Famicom Mini: Balloon Fight,GBA,2004,Nintendo  ,Nintendo  ,,,,,0.06,0.0,0.06
14768,Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,5pb  ,5pb. Games  ,,,,,0.06,,0.06
14769,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Sega  ,VIVARIUM Inc.  ,,,,,0.06,,0.06
14770,Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,DS,2008,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
14771,Rugby 18,PS4,2017,Koch Media  ,EKO Software  ,,,0.05,,,0.01,0.06
14772,X-Plane 11,PC,2017,Aerosoft  ,Laminar Research  ,,,,0.06,,0.0,0.06
14773,MotoGP 17,XOne,2017,Koch Media  ,Milestone S.r.l.  ,,,0.04,0.02,,0.01,0.06
14774,Sprung - A Game Where Everyone Scores,DS,2004,Ubisoft  ,Guillemot Inc  ,,,0.06,0.0,,0.0,0.06
14775,The Pinball of the Dead,GBA,2002,THQ  ,Wow Entertainment  ,,,0.05,0.02,,0.0,0.06
14776,Growlanser: Wayfarer of Time,PSP,2012,Atlus  ,Career Soft  ,,,,,0.06,,0.06
14777,Tokobot,PSP,2005,Tecmo  ,Tecmo  ,,,0.06,0.0,,0.0,0.06
14778,Arc the Lad: End of Darkness,PS2,2005,Namco  ,Cattle Call  ,,,0.03,0.02,,0.01,0.06
14779,The King of Route 66,PS2,2003,Sega  ,Sega-AM2  ,,,0.03,0.02,,0.01,0.06
14780,Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Ubisoft  ,Ubisoft  ,,,0.05,0.02,,0.0,0.06
14781,Steins;Gate,PS3,2015,5pb  ,5pb. Inc.  ,,,0.01,0.02,0.02,0.01,0.06
14782,Bubble Bobble also featuring Rainbow Islands,PS,1996,Acclaim Entertainment  ,Probe Entertainment Ltd.  ,,,0.04,0.02,,0.0,0.06
14783,Intellivision Lives!,GC,2004,Crave Entertainment  ,Realtime Associates  ,6.4,,0.05,0.01,,0.0,0.06
14784,Saki: Zenkoku-hen,PSV,2015,Kaga Create  ,Unknown  ,,,,,0.06,,0.06
14785,Fast Food Panic,Wii,2010,SouthPeak Interactive  ,Dorasu  ,,,0.06,,,0.0,0.06
14786,Panzer Tactics DS,DS,2007,Conspiracy Entertainment  ,Sproing  ,,,0.06,,,0.0,0.06
14787,Pro Yakyuu Spirits 2013,PSV,2013,Konami Digital Entertainment  ,Konami  ,,,,,0.06,,0.06
14788,Robotica,SAT,1995,Acclaim Entertainment  ,Genki  ,,,,,0.06,,0.06
14789,Deathrow: Underground Team Combat,XB,2002,Ubisoft  ,Southend Interactive  ,,,0.05,0.01,,0.0,0.06
14790,Golf Club 2019,PS4,2018,2K Games  ,HB Studios  ,,,0.05,,,0.01,0.06
14791,NHL 2K9,Wii,2008,2K Sports  ,Visual Concepts  ,,,0.06,0.0,,0.0,0.06
14792,Johnny Test,DS,2011,505 Games  ,Sarbakan  ,,,0.06,0.0,,0.0,0.06
14793,Land of the Dead: Road to Fiddler's Green,XB,2005,Groove Games  ,Brainbox Games  ,,,0.05,0.01,,0.0,0.06
14794,Touhou Kobuto V: Burst Battle,NS,2017,NIS America  ,CUBETYPE  ,,,0.04,0.02,,0.01,0.06
14795,R-Types,PS,1999,ASCII Entertainment  ,Racdym  ,,,0.04,0.02,,0.0,0.06
14796,Mega Man 11,XOne,2018,Capcom  ,Capcom  ,,,0.06,,,0.01,0.06
14797,Star Fighter,PS,1996,Acclaim Entertainment  ,Krisalis Software  ,,,0.04,0.02,,0.0,0.06
14798,Akai Katana,X360,2012,Cave  ,Cave  ,,,0.04,,0.01,0.01,0.06
14799,Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,Benesse  ,Benesse  ,,,,,0.06,,0.06
14800,Osu! Tatakae! Ouendan,DS,2005,Nintendo  ,iNiS  ,,,,,0.06,,0.06
14801,Dissidia: Final Fantasy Universal Tuning,PSP,2009,Square Enix  ,Square Enix  ,,,,,0.06,,0.06
14802,Bionicle Heroes,DS,2006,Eidos Interactive  ,Amaze Entertainment  ,7.8,,0.06,0.0,,0.0,0.06
14803,Jewel Quest IV: Heritage,DS,2011,iWin   ,iWin  ,,,,0.05,,0.01,0.06
14804,Victor Vran: Overkill Edition,NS,2018,Wired Productions  ,Haemimont Games  ,,,0.06,,,0.01,0.06
14805,Octomania,Wii,2008,Conspiracy Entertainment  ,Compile Heart  ,6.7,,0.06,0.0,,0.0,0.06
14806,Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,2011,Namco Bandai  ,Namco Bandai Games  ,,,,,0.06,,0.06
14807,The Legend of Heroes: Trails in the Sky SC,PSP,2007,Falcom Corporation  ,Nihon Falcom Corporation  ,,,,,0.06,,0.06
14808,My Pet Chimp,DS,2010,505 Games  ,505 Games  ,,,0.06,,,0.0,0.06
14809,Transformer: Rise of the Dark Spark,WiiU,2014,Activision  ,Edge of Reality  ,,,0.04,0.02,,0.01,0.06
14810,Chaos Rings III,PSV,2014,Square Enix  ,Media.Vision  ,,,,,0.06,,0.06
14811,Mystic Heroes,PS2,2002,KOEI  ,Koei  ,,,0.03,0.02,,0.01,0.06
14812,Omega Labyrinth,PSV,2015,D3Publisher  ,Matrix Software  ,,,,,0.06,,0.06
14813,Tron 2.0: Killer App,GBA,2004,Buena Vista  ,Digital Eclipse Software  ,,,0.04,0.02,,0.0,0.06
14814,Jurassic Park III: Park Builder,GBA,2001,Konami  ,Konami  ,,,0.04,0.02,,0.0,0.06
14815,Lord of Magna: Maiden Heaven,3DS,2015,Xseed Games  ,Marvelous  ,7.0,,,,0.06,,0.06
14816,UnchainBlades ReXX,PSP,2012,Atlus  ,FuRyu Corporation  ,,,,,0.06,,0.06
14817,Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,2011,Namco Bandai  ,Namco Bandai Games  ,,,,,0.06,,0.06
14818,Showtime Championship Boxing,Wii,2007,DSI Games  ,Nikitova Games  ,,,0.06,0.0,,0.0,0.06
14819,Di-Gata Defenders,DS,2008,Game Factory  ,Mystic Software  ,,,0.06,,,0.0,0.06
14820,To Heart 2: Dungeon Travelers,PSV,2015,Aqua Plus  ,Aqua Plus  ,,,,,0.06,,0.06
14821,Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,2008,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
14822,Chrysler Classic Racing,Wii,2008,Zoo Games  ,EM Studios  ,,,0.06,,,0.0,0.06
14823,LEGO Bionicle,GBA,2001,LEGO Media  ,Saffire Corporation  ,6.4,,0.04,0.02,,0.0,0.06
14824,Bomberman Land,PSP,2008,Hudson Entertainment  ,Hudson Soft  ,6.5,,0.06,0.0,,0.0,0.06
14825,Stern Pinball Arcade,NS,2017,Alliance Digital Media  ,System 3 Software  ,,,0.05,0.01,,0.01,0.06
14826,Power Shovel,PS,2001,Acclaim Entertainment  ,Taito Corporation  ,,,0.03,0.02,,0.0,0.06
14827,Spy Fox in Dry Cereal,Wii,2008,Majesco  ,Mistic Studios  ,,,0.06,,,0.0,0.06
14828,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Pack-In-Video  ,ArtDink  ,,,,,0.06,,0.06
14829,Spy Games: Elevator Mission,Wii,2007,Tommo  ,Tommo  ,2.0,,0.06,,,0.0,0.06
14830,Asterix and Obelix XXL2,NS,2018,Microids  ,Microids  ,6.5,,,0.06,,0.0,0.06
14831,Strike Force Bowling,GC,2005,Crave Entertainment  ,Lab Rats Games  ,,,0.05,0.01,,0.0,0.06
14832,Earth Defense Force 2017 Portable,PSV,2013,D3Publisher  ,Sandlot  ,,,,,0.06,,0.06
14833,Theme Park,DS,2007,Electronic Arts  ,EA Japan Studio  ,,,0.0,0.03,0.03,0.0,0.06
14834,Atelier Iris 2: The Azoth Of Destiny,PS2,2006,NIS America  ,Gust  ,6.8,,0.03,0.02,,0.01,0.06
14835,Hogs of War / Worms,PS,2002,Infogrames  ,Infogrames Sheffield / Team17 Software  ,,,0.03,0.02,,0.0,0.06
14836,GRID 2,PC,2013,Codemasters  ,Unknown  ,,,,0.06,,0.0,0.06
14837,Championship Surfer,PS,2000,Mattel Interactive  ,Krome Studios  ,7.2,,0.03,0.02,,0.0,0.06
14838,Tokimeki no Houkago,PS,1998,Konami  ,KCET  ,,,,,0.06,0.0,0.06
14839,Monster Garage,XB,2004,Activision  ,Invictus Games Ltd  ,,,0.05,0.01,,0.0,0.06
14840,From The Abyss,DS,2008,Aksys Games  ,Sonic Powered  ,7.3,,0.06,,,0.0,0.06
14841,Speed,Wii,2010,Zoo Games  ,Team6 Game Studio  ,,,0.04,0.02,,0.0,0.06
14842,Secret Files: Tunguska,Wii,2010,Deep Silver  ,Fusionsphere Systems / Animation Arts  ,,,0.04,0.01,,0.0,0.06
14843,Tecmo Classic Arcade,XB,2005,Tecmo  ,Tecmo  ,,,0.05,0.01,,0.0,0.06
14844,MX vs. ATV Supercross,X360,2014,Nordic Games  ,Rainbow Studios  ,,,0.03,0.02,,0.01,0.06
14845,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Sega  ,Various  ,,,0.04,0.02,,0.0,0.06
14846,Fate/Extella Link,PSV,2018,Marvelous  ,Marvelous  ,,,,,0.06,,0.06
14847,Mad Maestro!,PS2,2002,Eidos Interactive  ,Desert Productions  ,,,0.03,0.02,,0.01,0.06
14848,Densha De Go! 3 Tsuukinhen,PS2,2001,Taito  ,Taito Corporation  ,,,,,0.06,,0.06
14849,Wasteland 2,XOne,2015,Deep Silver  ,InXile Entertainment  ,,,0.05,0.01,,0.01,0.06
14850,Biker Mice From Mars,PS2,2007,Game Factory  ,Creat Studio  ,,,0.03,0.02,,0.01,0.06
14851,Age of Empires Online,PC,2011,Microsoft Game Studios  ,Microsoft Game Studios  ,7.0,,0.01,0.04,,0.01,0.06
14852,Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,2006,Daito  ,Daito  ,,,,,0.06,,0.06
14853,Legend of Kay,DS,2010,DreamCatcher Interactive  ,Firehazard Studio  ,,,0.06,0.0,,0.0,0.06
14854,Final Fantasy XIV: Stormblood,PC,2017,Square Enix  ,Square Enix  ,,,0.04,0.02,,0.01,0.06
14855,Conan Exiles,XOne,2018,Maximum Games  ,Funcom Oslo A/S  ,,,0.05,0.01,,0.01,0.06
14856,Sudoku Ball Detective,DS,2009,Playlogic Game Factory  ,WhiteBear Studios  ,5.0,,0.06,0.0,,0.0,0.06
14857,Giants: Citizen Kabuto,PS2,2001,Interplay  ,Digital Mayhem  ,,,0.03,0.02,,0.01,0.06
14858,Steins;Gate,X360,2009,5pb  ,Nitro+  ,,,,,0.06,,0.06
14859,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2016,Idea Factory  ,Compile Heart  ,,,0.02,0.01,0.02,0.01,0.06
14860,Alone in the Dark,PS2,2008,Atari  ,Hydravision Entertainment  ,,,0.03,0.02,,0.01,0.06
14861,Guilty Gear XX Accent Core Plus,PS2,2009,Aksys Games  ,Arc System Works  ,,,0.03,0.02,,0.01,0.06
14862,Muppets Party Cruise,PS2,2003,TDK Mediactive  ,Mass Media  ,,,0.03,0.02,,0.01,0.06
14863,Higurashi Daybreak Portable,PSP,2008,Alchemist  ,Alchemist  ,,,,,0.06,,0.06
14864,Barbie Horse Adventures: Wild Horse Rescue,XB,2003,VU Games  ,Blitz Games  ,,,0.05,0.01,,0.0,0.06
14865,Shonen Jump's One Piece: Grand Battle,GC,2005,Namco Bandai  ,Ganbarion  ,,,0.05,0.01,,0.0,0.06
14866,Sherlock Holmes: The Devil's Daughter,PS4,2016,Bigben Interactive  ,Bigben Interactive  ,,,0.05,,,0.01,0.06
14867,DreamWorks Super Star Kartz,X360,2011,Activision  ,Activision  ,,,0.05,0.01,,0.01,0.06
14868,Blast Lacrosse,PS,2001,Acclaim Entertainment  ,Sandbox  ,,,0.03,0.02,,0.0,0.06
14869,Kurupoto Cool Cool Stars,DS,2007,UFO Interactive  ,Starfish SD  ,,,0.06,,,0.0,0.06
